Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions;;;;;;;;
Asus,ZenFone 4 Pro (ZS551KL),ASUS_Z01GD_1,5732-5733MB,Phone,Qualcomm MSM8998,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;26,3.2;;;;;
Asus,RTC-700A,RTC-tablet,,Tablet,NVidia Tegra 2 T20,1280x800,160,armeabi-v7a;armeabi,15,2.0;;;;;;;
Asus,ZenFone Live L1 (ZA550KL),ASUS_X00R_2,1872MB,Phone,Qualcomm MSM8917,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,26,3.0;;;;;;
Asus,ZenFone Live L1 (ZA550KL),ASUS_X00R_3,887MB,Phone,Qualcomm MSM8917,720x1440,320,armeabi-v7a;armeabi,27,3.0;;;;;;;
Asus,ZenPad 3S 10 LTE (Z500KL),ASUS_P00I,3631-3634MB,Tablet,Qualcomm MSM8956,1536x2048,320,arm64-v8a;armeabi-v7a;armeabi,23;24,3.1;3.ﬁub;;;;
Asus,ZenFone V,ASUS_A006,3739-3740MB,Phone,Qualcomm MSM8996,1080x1920,420,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;;
Asus,ZenPad 3 8.0,P008_1,3631-3634MB,Tablet,Qualcomm MSM8956,1536x2048,320,arm64-v8a;armeabi-v7a;armeabi,23;24,3.1;3.ﬁub;;;;
Asus,ZenPad 3 8.0,P008_2,1873MB,Tablet,Qualcomm MSM8956,1536x2048,320,arm64-v8a;armeabi-v7a;armeabi,23,3.1;;;;;;
Asus,ZenFone 6,ASUS_T00G,1990-1996MB,Phone,Intel Z2580,720x1280,320,x86;armeabi-v7a;armeabi,18;19;21,2.0;;;;
Asus,ZenPad 3S 10 (Z500M),P027,3945-3948MB,Tablet,Mediatek MT8176A,1536x2048,320,arm64-v8a;armeabi-v7a;armeabi,23;24,3.1;3.ﬁub;;;;
Asus,MeMO Pad 8 (ME581C),K01H,1958-1959MB,Tablet,Intel Z3560,1920x1200,320,x86;armeabi-v7a;armeabi,19;21,3.0;;;;;
Asus,ASUS_X00TD,ASUS_X00T_6,2744MB,Phone,Qualcomm SDM636,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Asus,Transformer Pad TF300TL,TF300TL,975-977MB,Tablet,NVidia Tegra 3,1280x800,160,armeabi-v7a;armeabi,15;16;17,2.0;;;;;
Asus,ZenFone 2 Laser (ZE551KL),ASUS_Z00T,2778-2873MB,Phone,Qualcomm MSM8939,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;3.Oca;;;;
Asus,MeMo Pad 10 (ME302C),ME302C,1978-1979MB,Tablet,Intel Z2560,1920x1200,240,x86;armeabi-v7a;armeabi,17;18,2.0;;;;;
Asus,Eee Pad TF101,TF101,,Tablet,NVidia Tegra 2,1280x752,160,armeabi-v7a;armeabi,12;13;15,2.0;;;;;
Asus,ZenFone Ares (ZS572KL),ASUS_A002_2,7776MB,Phone,Qualcomm MSM8996,1440x2560,560,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
